ig,ip,t1,t2,t3,t4,t5
1,1,1.3656309e-17,1.2899298000000001e-17,1.2138799e-17,1.1393921e-17,1.0678526e-17
1,2,1.3620440000000001e-17,1.2862826999999998e-17,1.2102723e-17,1.1359010999999999e-17,1.0645299e-17
1,3,1.3584081e-17,1.2825927000000001e-17,1.2066274e-17,1.132378e-17,1.0611792e-17
1,4,1.3547502e-17,1.2788873e-17,1.202973e-17,1.1288497999999999e-17,1.0578265e-17
1,5,1.351066e-17,1.2751631e-17,1.1993057e-17,1.1253133e-17,1.0544688e-17
1,6,1.3473205999999999e-17,1.2713849e-17,1.1955915e-17,1.121736e-17,1.0510755e-17
1,7,1.3436883999999998e-17,1.2677299e-17,1.1920052e-17,1.1182868e-17,1.0478068e-17
1,8,1.3391658000000001e-17,1.2631856e-17,1.1875515e-17,1.1140071e-17,1.0437539999999999e-17
1,9,1.3336797999999999e-17,1.2576835e-17,1.1821673e-17,1.1088394e-17,1.0388641e-17
1,10,1.3259444e-17,1.2499384e-17,1.1745989e-17,1.101583e-17,1.0320033000000001e-17
1,11,1.3173916999999998e-17,1.2414029e-17,1.1662799e-17,1.0936224999999999e-17,1.0244870000000001e-17
1,12,1.308337e-17,1.2323997e-17,1.1575301e-17,1.0852676e-17,1.0166105000000001e-17
1,13,1.2989719999999999e-17,1.2231248e-17,1.1485438e-17,1.0767061e-17,1.0085522e-17
1,14,1.2892716e-17,1.2135569e-17,1.1393026e-17,1.0679221e-17,1.0002228000000001e-17
1,15,1.2792955e-17,1.2037591999999999e-17,1.1298701e-17,1.0589778e-17,9.917327199999999e-18
1,16,1.2689739e-17,1.1936665e-17,1.120186e-17,1.0498172e-17,9.8305525e-18
1,17,1.2583179e-17,1.1832947000000001e-17,1.1102685e-17,1.0404597000000001e-17,9.742105599999998e-18
1,18,1.248499e-17,1.1737992e-17,1.1012324e-17,1.0319639e-17,9.6620632e-18
1,19,1.2406238e-17,1.1662631e-17,1.0941168e-17,1.0253129e-17,9.5997594e-18
1,20,1.2394229e-17,1.1653245e-17,1.0933777e-17,1.0247268e-17,9.595270199999999e-18
1,21,1.2408462e-17,1.1670320000000001e-17,1.0952311e-17,1.0266306e-17,9.6147367e-18
1,22,1.2447199e-17,1.1712557e-17,1.0995800999999999e-17,1.0309517e-17,9.657625199999998e-18
1,23,1.2486991e-17,1.1757368e-17,1.1042816e-17,1.0356792e-17,9.7050018e-18
1,24,1.2516505e-17,1.1794063e-17,1.108337e-17,1.039887e-17,9.748246000000001e-18
1,25,1.2530756000000001e-17,1.1818313e-17,1.1113685e-17,1.0432439000000001e-17,9.784341199999999e-18
1,26,1.2517597e-17,1.1818733e-17,1.1123178999999999e-17,1.0447722e-17,9.803116099999999e-18
1,27,1.246371e-17,1.1782758e-17,1.1100108e-17,1.0433831000000001e-17,9.795715000000001e-18
1,28,1.2360838e-17,1.1702979e-17,1.1037829e-17,1.0384806e-17,9.7567878e-18
1,29,1.2191104e-17,1.1562109e-17,1.0919891e-17,1.0285188000000001e-17,9.6719347e-18
1,30,1.1954059e-17,1.1360843e-17,1.0747769e-17,1.013694e-17,9.543394e-18
1,31,1.1639025999999999e-17,1.1089364999999999e-17,1.0512498000000001e-17,9.9319109e-18,9.363768e-18
1,32,1.1236107e-17,1.0738382000000001e-17,1.0205459e-17,9.6621646e-18,9.1257789e-18
