,hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0,0.0003,0.30772,0.28119,-0.026539999999999998,0.50965,0.46778000000000003,-0.04187
1,0.0008,0.30806999999999995,0.28114,-0.026930000000000003,0.5097,0.4676,-0.042089999999999995
2,0.0011,0.30777,0.28110999999999997,-0.02665,0.5091899999999999,0.4675,-0.04168
3,0.0015,0.3075,0.28107,-0.026430000000000002,0.50863,0.46735,-0.041280000000000004
4,0.0021,0.30723,0.28101,-0.02622,0.5079600000000001,0.46713000000000005,-0.040839999999999994
5,0.0029,0.30694,0.28092,-0.026019999999999998,0.50712,0.4668,-0.040310000000000006
6,0.0041,0.3066,0.2808,-0.0258,0.5060100000000001,0.46634,-0.03966
7,0.0057,0.30616,0.28063,-0.02553,0.5045,0.46568999999999994,-0.038810000000000004
8,0.008,0.30558,0.28038,-0.0252,0.50244,0.46476999999999996,-0.03768
9,0.0112,0.3048,0.28005,-0.02476,0.49962,0.46347,-0.03615
10,0.0158,0.30374,0.27956,-0.02418,0.49576000000000003,0.46163000000000004,-0.03413
11,0.0221,0.30228,0.27887,-0.02341,0.49046999999999996,0.45905,-0.03142
12,0.031,0.30028,0.27793,-0.02235,0.48331,0.4555,-0.02781
13,0.0435,0.29754,0.27663000000000004,-0.020919999999999998,0.47368000000000005,0.4506,-0.02308
14,0.0611,0.29386,0.27483,-0.019030000000000002,0.46112,0.44396,-0.01715
15,0.0856,0.28911,0.2724,-0.01671,0.4455,0.43516000000000005,-0.01034
16,0.1201,0.28301,0.26911999999999997,-0.013890000000000001,0.42654,0.42357,-0.00297
17,0.1685,0.27539,0.26473,-0.01065,0.40421999999999997,0.40843,0.00421
18,0.2364,0.26609,0.25892,-0.00718,0.37895999999999996,0.38908000000000004,0.01012
19,0.3315,0.25499,0.25129,-0.0037,0.35154,0.36508,0.01354
20,0.4651,0.24206999999999998,0.24161999999999997,-0.00045999999999999996,0.32308000000000003,0.33671,0.013630000000000001
21,0.6524,0.22778,0.2297,0.0019199999999999998,0.29523,0.30507,0.00984
22,0.9151,0.2122,0.21548,0.0032700000000000003,0.26819,0.27185,0.00366
23,1.2837,0.1946,0.19867,0.004070000000000001,0.24011,0.23828000000000002,-0.00183
