hPa,LBLx1,PARx1,PARx1 - LBLx1,LBLx2,PARx2,PARx2 - LBLx2
0.0,29.35225,29.35225,0.0,29.35225,29.35225,0.0
0.0006,29.350040000000003,29.35,-4e-05,29.349120000000003,29.34925,0.00013000000000000002
0.0009,29.34962,29.349659999999997,4e-05,29.3485,29.348709999999997,0.00021
0.0012,29.349120000000003,29.34924,0.00011999999999999999,29.34773,29.347990000000003,0.00026000000000000003
0.0017,29.34849,29.34869,0.0002,29.346759999999996,29.34705,0.00029
0.0024,29.34771,29.34797,0.00026000000000000003,29.34555,29.34586,0.00031
0.0034,29.34672,29.34702,0.0003,29.344079999999998,29.34437,0.00029
0.0048,29.34549,29.3458,0.00031,29.34232,29.34256,0.00023999999999999998
0.0067,29.34398,29.344279999999998,0.0003,29.340290000000003,29.34041,0.00011999999999999999
0.0094,29.34218,29.34243,0.00025,29.338,29.33788,-0.00011999999999999999
0.0131,29.34007,29.340220000000002,0.00015,29.33547,29.334940000000003,-0.00053
0.0184,29.337670000000003,29.337590000000002,-8e-05,29.332690000000003,29.331609999999998,-0.00108
0.0258,29.33499,29.33452,-0.00047000000000000004,29.329620000000002,29.32797,-0.00165
0.0362,29.332,29.33098,-0.0010199999999999999,29.32617,29.324170000000002,-0.002
0.0508,29.32865,29.327059999999996,-0.00159,29.32222,29.320220000000003,-0.002
0.0713,29.32477,29.322840000000003,-0.00193,29.317529999999998,29.315820000000002,-0.0017100000000000001
0.1,29.320059999999998,29.31819,-0.00187,29.31164,29.31025,-0.00139
0.1403,29.31411,29.31265,-0.00146,29.30397,29.302609999999998,-0.0013599999999999999
0.1968,29.30647,29.30545,-0.0010199999999999999,29.29396,29.29219,-0.0017699999999999999
0.276,29.29658,29.29567,-0.00091,29.28101,29.278570000000002,-0.00244
0.3871,29.283820000000002,29.282590000000003,-0.00123,29.264459999999996,29.26168,-0.00278
0.5431,29.26744,29.265790000000003,-0.00165,29.24345,29.24135,-0.0021
0.7617,29.24659,29.24506,-0.0015300000000000001,29.21674,29.216079999999998,-0.00066
1.0685,29.220290000000002,29.219820000000002,-0.00047000000000000004,29.18269,29.18266,-2.9999999999999997e-05
1.4988,29.188029999999998,29.18863,0.0006,29.140340000000002,29.138959999999997,-0.0013800000000000002
2.1024,29.148609999999998,29.148559999999996,-5e-05,29.08796,29.084059999999997,-0.0039
2.949,29.099,29.096490000000003,-0.00251,29.021790000000003,29.016059999999996,-0.00573
4.1366,29.035090000000004,29.029190000000003,-0.0059,28.937170000000002,28.92963,-0.007540000000000001
5.8025,28.952009999999998,28.943590000000004,-0.00842,28.82947,28.81891,-0.01056
8.1392,28.84485,28.834290000000003,-0.01056,28.69496,28.68287,-0.01209
11.417,28.70944,28.700159999999997,-0.00928,28.531909999999996,28.527859999999997,-0.00405
16.0147,28.54366,28.54383,0.00016999999999999999,28.340320000000002,28.340940000000003,0.00062
22.464,28.346940000000004,28.35345,0.006509999999999999,28.115759999999998,28.10455,-0.01121
